Train: [1][0/20], lr: 0.00300	Time 0.646 (0.646)	Data 0.620 (0.620)	Prec@1 9.375 (9.375)	Prec@1 20.312 (20.312)	Prec@1 0.781 (0.781)	Prec@5 72.656 (72.656)	Prec@5 86.719 (86.719)	Prec@5 64.844 (64.844)	Loss 2.0793 (2.0793)   loss_verb 2.0793   loss_noun 2.0790	
Train: [2][0/20], lr: 0.00300	Time 0.566 (0.566)	Data 0.553 (0.553)	Prec@1 53.125 (53.125)	Prec@1 13.281 (13.281)	Prec@1 7.031 (7.031)	Prec@5 88.281 (88.281)	Prec@5 82.812 (82.812)	Prec@5 72.656 (72.656)	Loss 2.0691 (2.0691)   loss_verb 2.0691   loss_noun 2.0792	
Train: [3][0/20], lr: 0.00300	Time 0.556 (0.556)	Data 0.540 (0.540)	Prec@1 51.562 (51.562)	Prec@1 16.406 (16.406)	Prec@1 6.250 (6.250)	Prec@5 82.031 (82.031)	Prec@5 83.594 (83.594)	Prec@5 65.625 (65.625)	Loss 2.0530 (2.0530)   loss_verb 2.0530   loss_noun 2.0789	
Train: [4][0/20], lr: 0.00300	Time 0.627 (0.627)	Data 0.588 (0.588)	Prec@1 58.594 (58.594)	Prec@1 13.281 (13.281)	Prec@1 9.375 (9.375)	Prec@5 86.719 (86.719)	Prec@5 82.812 (82.812)	Prec@5 72.656 (72.656)	Loss 1.9972 (1.9972)   loss_verb 1.9972   loss_noun 2.0785	
Train: [5][0/20], lr: 0.00300	Time 0.545 (0.545)	Data 0.525 (0.525)	Prec@1 33.594 (33.594)	Prec@1 7.031 (7.031)	Prec@1 2.344 (2.344)	Prec@5 88.281 (88.281)	Prec@5 78.906 (78.906)	Prec@5 70.312 (70.312)	Loss 1.8874 (1.8874)   loss_verb 1.8874   loss_noun 2.0783	
Train: [6][0/20], lr: 0.00300	Time 0.626 (0.626)	Data 0.606 (0.606)	Prec@1 41.406 (41.406)	Prec@1 14.844 (14.844)	Prec@1 7.031 (7.031)	Prec@5 84.375 (84.375)	Prec@5 87.500 (87.500)	Prec@5 72.656 (72.656)	Loss 1.7817 (1.7817)   loss_verb 1.7817   loss_noun 2.0762	
Train: [7][0/20], lr: 0.00300	Time 0.618 (0.618)	Data 0.604 (0.604)	Prec@1 43.750 (43.750)	Prec@1 13.281 (13.281)	Prec@1 7.812 (7.812)	Prec@5 82.812 (82.812)	Prec@5 78.125 (78.125)	Prec@5 66.406 (66.406)	Loss 1.7133 (1.7133)   loss_verb 1.7133   loss_noun 2.0765	
Train: [8][0/20], lr: 0.00300	Time 0.608 (0.608)	Data 0.584 (0.584)	Prec@1 52.344 (52.344)	Prec@1 14.062 (14.062)	Prec@1 7.031 (7.031)	Prec@5 84.375 (84.375)	Prec@5 84.375 (84.375)	Prec@5 69.531 (69.531)	Loss 1.6135 (1.6135)   loss_verb 1.6135   loss_noun 2.0762	
Train: [9][0/20], lr: 0.00300	Time 0.630 (0.630)	Data 0.613 (0.613)	Prec@1 64.062 (64.062)	Prec@1 16.406 (16.406)	Prec@1 8.594 (8.594)	Prec@5 92.188 (92.188)	Prec@5 71.094 (71.094)	Prec@5 63.281 (63.281)	Loss 1.2000 (1.2000)   loss_verb 1.2000   loss_noun 2.0780	
Train: [10][0/20], lr: 0.00030	Time 0.607 (0.607)	Data 0.582 (0.582)	Prec@1 54.688 (54.688)	Prec@1 6.250 (6.250)	Prec@1 3.125 (3.125)	Prec@5 85.156 (85.156)	Prec@5 57.031 (57.031)	Prec@5 47.656 (47.656)	Loss 1.2130 (1.2130)   loss_verb 1.2130   loss_noun 2.0806	
Train: [11][0/20], lr: 0.00030	Time 0.570 (0.570)	Data 0.550 (0.550)	Prec@1 60.156 (60.156)	Prec@1 5.469 (5.469)	Prec@1 2.344 (2.344)	Prec@5 86.719 (86.719)	Prec@5 67.188 (67.188)	Prec@5 58.594 (58.594)	Loss 1.0764 (1.0764)   loss_verb 1.0764   loss_noun 2.0798	
Train: [12][0/20], lr: 0.00030	Time 0.918 (0.918)	Data 0.906 (0.906)	Prec@1 55.469 (55.469)	Prec@1 9.375 (9.375)	Prec@1 8.594 (8.594)	Prec@5 88.281 (88.281)	Prec@5 64.844 (64.844)	Prec@5 58.594 (58.594)	Loss 1.1433 (1.1433)   loss_verb 1.1433   loss_noun 2.0787	
Train: [13][0/20], lr: 0.00030	Time 0.562 (0.562)	Data 0.540 (0.540)	Prec@1 50.781 (50.781)	Prec@1 10.938 (10.938)	Prec@1 6.250 (6.250)	Prec@5 90.625 (90.625)	Prec@5 51.562 (51.562)	Prec@5 49.219 (49.219)	Loss 1.2000 (1.2000)   loss_verb 1.2000   loss_noun 2.0800	
Train: [14][0/20], lr: 0.00030	Time 0.633 (0.633)	Data 0.612 (0.612)	Prec@1 61.719 (61.719)	Prec@1 5.469 (5.469)	Prec@1 3.906 (3.906)	Prec@5 87.500 (87.500)	Prec@5 64.844 (64.844)	Prec@5 59.375 (59.375)	Loss 1.0148 (1.0148)   loss_verb 1.0148   loss_noun 2.0799	
Train: [15][0/20], lr: 0.00030	Time 0.666 (0.666)	Data 0.646 (0.646)	Prec@1 51.562 (51.562)	Prec@1 4.688 (4.688)	Prec@1 2.344 (2.344)	Prec@5 85.156 (85.156)	Prec@5 60.156 (60.156)	Prec@5 53.125 (53.125)	Loss 1.1856 (1.1856)   loss_verb 1.1856   loss_noun 2.0796	
Train: [16][0/20], lr: 0.00030	Time 0.563 (0.563)	Data 0.544 (0.544)	Prec@1 53.125 (53.125)	Prec@1 9.375 (9.375)	Prec@1 6.250 (6.250)	Prec@5 87.500 (87.500)	Prec@5 57.031 (57.031)	Prec@5 50.781 (50.781)	Loss 1.1866 (1.1866)   loss_verb 1.1866   loss_noun 2.0794	
